"X1","X2","component","subcomponent"
"14001",20.9442662815713,19.9967645527175,4,4
"14002",18.3490516179702,20.9232638100404,4,4
"14003",17.2854427110534,25.9855598870594,4,4
"14004",20.4582112068834,20.5994798754631,4,4
"14005",19.0308591495549,19.7410093096974,4,4
"14006",24.490435792021,20.3119410303803,4,4
"14007",18.5666700415425,25.4616241193114,4,4
"14008",19.049464640793,26.183939088982,4,4
"14009",19.472843130628,19.4514850724083,4,4
"14010",21.8421707883657,13.8691461277831,4,4
"14011",19.6587185569781,25.1262324689058,4,4
"14012",19.7757850227176,23.0981722112337,4,4
"14013",18.7224501572522,26.3052312239484,4,4
"14014",19.0074560720625,26.0328780836546,4,4
"14015",20.3335750088428,25.6930173285627,4,4
"14016",17.0658456063579,23.4610973099255,4,4
"14017",22.6159486317873,21.1230056604556,4,4
"14018",17.9565975443425,25.1878189025597,4,4
"14019",25.2571357382823,16.9679168064218,4,4
"14020",21.6050490850944,19.9088842016333,4,4
"14021",23.2700085094423,19.0902162656326,4,4
"14022",19.3473951774375,24.6972622375612,4,4
"14023",22.3888991399744,17.7452844410715,4,4
"14024",21.0532629807706,19.6139352302948,4,4
"14025",19.7194425744168,29.786983094771,4,4
"14026",19.0367636374426,23.8642431689226,4,4
"14027",18.1223820947379,25.0336218168743,4,4
"14028",19.331377470589,23.772439727867,4,4
"14029",21.1865310290889,16.258604320571,4,4
"14030",18.0917492064965,20.9558618760825,4,4
"14031",20.2552824551971,16.973838470887,4,4
"14032",20.428561032416,21.482227204915,4,4
"14033",20.0520480810257,24.5873019766743,4,4
"14034",17.3172170466339,23.4314250781824,4,4
"14035",19.232268590284,20.6619834323539,4,4
"14036",20.1611207181631,23.0918263436802,4,4
"14037",18.7131357646717,22.3576059739991,4,4
"14038",21.9081840999948,22.66917230527,4,4
"14039",17.9939167333558,24.4145157126472,4,4
"14040",17.6676302359333,20.0535110790643,4,4
"14041",19.1834868967371,23.4725681143525,4,4
"14042",19.7319591734146,16.4579151829295,4,4
"14043",23.3555534863445,18.5429203870739,4,4
"14044",18.401471246847,29.0843979795941,4,4
"14045",20.23067873807,21.4577462009426,4,4
"14046",15.9075090393006,28.0398341960482,4,4
"14047",20.6504316162965,19.6521920039848,4,4
"14048",22.4304923734612,22.9077324464727,4,4
"14049",22.025304883624,15.1199521233325,4,4
"14050",20.6038273189794,19.5776140264723,4,4
"14051",20.3936176066813,20.991336158327,4,4
"14052",20.3234356588773,20.1126687798001,4,4
"14053",17.2504246071456,28.6620553070484,4,4
"14054",20.081562859801,27.4636958712786,4,4
"14055",18.4613244848088,24.8329441673929,4,4
"14056",19.1209243452142,27.3730361838371,4,4
"14057",18.027605764836,25.7713164325865,4,4
"14058",18.8240047950748,25.4144258463332,4,4
"14059",22.4484220347636,21.1225660462667,4,4
"14060",22.3255008446846,20.6493977339732,4,4
"14061",16.9263596836613,27.8643103293287,4,4
"14062",17.7208086387913,26.2561971386668,4,4
"14063",15.6862896558038,20.1742663560393,4,4
"14064",20.0106833209041,16.110701642564,4,4
"14065",21.6692225808307,19.5441533197284,4,4
"14066",21.8701567901965,14.2887889875852,4,4
"14067",19.4866243160215,20.6664202842476,4,4
"14068",18.3958135061399,26.3301261184563,4,4
"14069",16.2663168154916,26.5164173090931,4,4
"14070",17.3553406514504,25.4475461426689,4,4
"14071",18.5821534384623,21.7191850844338,4,4
"14072",23.8103935158169,18.995628233707,4,4
"14073",21.9231765905069,22.6836432201688,4,4
"14074",19.4371635779824,26.7941115028684,4,4
"14075",19.8550120211503,19.4989143346273,4,4
"14076",21.0424846366617,23.0696116692963,4,4
"14077",16.4232210956833,28.603989901214,4,4
"14078",19.4862306165076,22.2285067157532,4,4
"14079",18.0370604927008,22.5490694828048,4,4
"14080",18.9751124812774,23.2061964146265,4,4
"14081",18.521966863586,25.3456136012388,4,4
"14082",20.5557312706566,20.7456950553797,4,4
"14083",20.6917513255273,19.3207190010718,4,4
"14084",18.7057697743871,26.8930324785738,4,4
"14085",19.2419710170659,23.9376184359423,4,4
"14086",22.5412062119396,21.3931848942414,4,4
"14087",19.0222183032241,21.8323210530539,4,4
"14088",19.5198333385394,20.0513666881518,4,4
"14089",21.3582257985746,23.2694748036294,4,4
"14090",18.7296559081953,24.4625620656269,4,4
"14091",15.4177743657077,30.0150075465393,4,4
"14092",19.8370865209661,24.7505079484226,4,4
"14093",22.5542948124874,13.7697382945193,4,4
"14094",17.097788771555,23.9835762720645,4,4
"14095",20.3040941680967,22.9008552196044,4,4
"14096",19.5978756840021,27.9243899965398,4,4
"14097",18.2569814172806,22.5589924897939,4,4
"14098",18.1433872756777,27.2919330482431,4,4
"14099",16.8984331417268,24.9703472884804,4,4
"14100",21.952300920042,25.9674007106585,4,4
"14101",19.8295723133973,19.0835949246407,4,4
"14102",17.1379096223377,28.2115533109754,4,4
"14103",21.4818510823194,21.4703736533976,4,4
"14104",18.6701546800463,21.5094488239696,4,4
"14105",18.0009410341076,24.8784131517402,4,4
"14106",19.3714829419396,24.3214206585437,4,4
"14107",20.6578687735408,17.6975454946671,4,4
"14108",16.4645445527359,30.4482400468813,4,4
"14109",20.1539090694796,17.5225191058385,4,4
"14110",21.7235944350207,20.8899792331175,4,4
"14111",19.8517429995593,22.1870022553581,4,4
"14112",20.1113974304109,22.0179138263669,4,4
"14113",19.9274352801117,27.0102889408264,4,4
"14114",23.888366410151,18.9272474430194,4,4
"14115",22.4515507440281,22.8342411763298,4,4
"14116",18.887620277865,25.3690964541198,4,4
"14117",17.2236626614769,25.2702368805522,4,4
"14118",18.5636154054115,22.4915370761243,4,4
"14119",20.7041966490665,21.2393845035165,4,4
"14120",16.0284714372353,26.7340147571438,4,4
"14121",21.1606388029576,21.9950390834083,4,4
"14122",16.1265607152875,23.4487049744347,4,4
"14123",22.4193856404856,16.8360182334155,4,4
"14124",20.5311310173331,22.5293610686526,4,4
"14125",20.0148888668396,22.9237556112007,4,4
"14126",18.9365695804088,21.0091127900902,4,4
"14127",20.9413802413702,18.835202152041,4,4
"14128",22.1182996309683,14.0209233351379,4,4
"14129",23.2227499907364,15.7426213048497,4,4
"14130",23.990048976324,13.397940940747,4,4
"14131",24.8042076698783,14.0105767595818,4,4
"14132",21.6654847632092,22.250227524525,4,4
"14133",19.2756159336713,29.0577517278841,4,4
"14134",20.3638441267045,22.3931919259132,4,4
"14135",19.8498157113409,22.4958579596053,4,4
"14136",20.5925221109654,22.7070361902382,4,4
"14137",20.902741949249,21.0358745275884,4,4
"14138",18.895153733017,18.1554981335044,4,4
"14139",23.836817727229,20.6560394766676,4,4
"14140",18.0390106737896,29.7764628207645,4,4
"14141",21.3860994306064,20.651401750855,4,4
